Name,Price,Product Type,WebLinks,ImageLinks
Dixon Ticonderoga #2 HB Soft Pencils 12Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Non-Mechancical-Pencils/Dixon-Ticonderoga-2-HB-Soft-Pencils-12Pack/p/359118890,https://static.helixbeta.com/prod/457/8890/457_359118890.jpg?imwidth=2048
BIC QuickDry WiteOut Correction Fluid with Foam Brush,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Correction-Fluids/Correction-Fluids--Pens/BIC-QuickDry-WiteOut-Correction-Fluid-with-Foam-Brush/p/332105,https://static.helixbeta.com/prod/457/2105/457_332105.jpg?imwidth=2048
Pentel HiPolymer Eraser Large,1.48,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Eraser--Eraser-Refills/Pentel-HiPolymer-Eraser-Large/p/831271,https://static.helixbeta.com/prod/457/1271/457_831271.jpg?imwidth=2048
Energel RTX 7mm Fine Black,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-7mm-Fine-Black/p/1156970,https://static.helixbeta.com/prod/457/6970/457_1156970.jpg?imwidth=2048
Energel RTX 7MM VLT MD NDL TP,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-7MM-VLT-MD-NDL-TP/p/1156972,https://static.helixbeta.com/prod/457/6972/457_1156972.jpg?imwidth=2048
Energel RTX 7mm Med Blue,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-7mm-Med-Blue/p/1158037,https://static.helixbeta.com/prod/457/8037/457_1158037.jpg?imwidth=2048
Energel RTX 5mm Fine Blue,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-5mm-Fine-Blue/p/1158043,https://static.helixbeta.com/prod/457/8043/457_1158043.jpg?imwidth=2048
Sharpie Pen 2 Pack Black,6.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Sharpie-Pen-2-Pack-Black/p/686707,https://static.helixbeta.com/prod/457/6707/457_686707.jpg?imwidth=2048
SharpieAccent Tank Highlighter Fluorescent Yellow 2Pack,3.18,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Highlighters/Carded/SharpieAccent-Tank-Highlighter-Fluorescent-Yellow-2Pack/p/1059307,https://static.helixbeta.com/prod/457/9307/457_1059307.jpg?imwidth=2048
SHARPIE ASST COLORS 4PK,8.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Markers/Carded/SHARPIE-ASST-COLORS-4PK/p/1059308,https://static.helixbeta.com/prod/457/9308/457_1059308.jpg?imwidth=2048
BIC Gelocity Original Retractable Gel Pen Medium Point 0.7mm Assorted Colors 4Pack,5.48,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BIC-Gelocity-Original-Retractable-Gel-Pen-Medium-Point-0-7mm-Assorted-Colors-4Pack/p/156800442,https://static.helixbeta.com/prod/457/0442/457_156800442.jpg?imwidth=2048
Poppin Assorted Blues Retractable Gel Luxe Pens Set of 4,10.99,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Poppin-Assorted-Blues-Retractable-Gel-Luxe-Pens-Set-of-4/p/265569420,https://static.helixbeta.com/prod/457/9420/457_265569420.jpg?imwidth=2048
Dixon Ticonderoga #2 HB Soft Sharpened Pencils 10Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Non-Mechancical-Pencils/Dixon-Ticonderoga-2-HB-Soft-Sharpened-Pencils-10Pack/p/359118902,https://static.helixbeta.com/prod/457/8902/457_359118902.jpg?imwidth=2048
BIC Brite Liner Highlighter 5 Pack,4.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Highlighters/Carded/BIC-Brite-Liner-Highlighter-5-Pack/p/570830,https://static.helixbeta.com/prod/457/0830/457_570830.jpg?imwidth=2048
BICCristalXtra Smooth Ball Pen 10 Pack,3.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BICCristalXtra-Smooth-Ball-Pen-10-Pack/p/6156,https://static.helixbeta.com/prod/457/6156/457_6156.jpg?imwidth=2048
Paper Mate ComfortMate Ultra Starter Set Mechanical Pencil 0.5 mm 2Pack,6.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/Paper-Mate-ComfortMate-Ultra-Starter-Set-Mechanical-Pencil-0-5-mm-2Pack/p/623319,https://static.helixbeta.com/prod/457/3319/457_623319.jpg?imwidth=2048
Pentel Lead Pencil,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Lead-Refills/Pentel-Lead-Pencil/p/6066,https://static.helixbeta.com/prod/457/6066/457_6066.jpg?imwidth=2048
BICCristal Xtra Smooth Ball Pen Medium Point 1.0mm Blue Ink 10 Count,3.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BICCristal-Xtra-Smooth-Ball-Pen-Medium-Point-1-0mm-Blue-Ink-10-Count/p/6154,https://static.helixbeta.com/prod/457/6154/457_6154.jpg?imwidth=2048
BIC Round Stic Xtra Life Ball Pen Medium 1.0mm Blue Ink 10 Count,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BIC-Round-Stic-Xtra-Life-Ball-Pen-Medium-1-0mm-Blue-Ink-10-Count/p/609906,https://static.helixbeta.com/prod/457/9906/457_609906.jpg?imwidth=2048
BIC Round Stic Xtra Life Ball Pen Black 10Pack,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BIC-Round-Stic-Xtra-Life-Ball-Pen-Black-10Pack/p/980821,https://static.helixbeta.com/prod/457/0821/457_980821.jpg?imwidth=2048
Sharpie Clear View Highlighters Chisel Tip Assorted Colors 3Pack,9.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Highlighters/Carded/Sharpie-Clear-View-Highlighters-Chisel-Tip-Assorted-Colors-3Pack/p/158008117,https://static.helixbeta.com/prod/457/8117/457_158008117.jpg?imwidth=2048
Mini Correction Tape 3 Pack,7.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Correction-Fluids/Correction-Tapes/Mini-Correction-Tape-3-Pack/p/507121362,https://static.helixbeta.com/prod/457/1362/457_507121362.jpg?imwidth=2048
Energel RTX 7mm Med Violet,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-7mm-Med-Violet/p/1158036,https://static.helixbeta.com/prod/457/8036/457_1158036.jpg?imwidth=2048
Energel RTX 7mm Med Green,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-7mm-Med-Green/p/1156966,https://static.helixbeta.com/prod/457/6966/457_1156966.jpg?imwidth=2048
Energel RTX 7mm Med Black,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-7mm-Med-Black/p/1158033,https://static.helixbeta.com/prod/457/8033/457_1158033.jpg?imwidth=2048
Frixion Clicker Pen Fine Purple,3.48,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Bulk--Display-Pens/Frixion-Clicker-Pen-Fine-Purple/p/118351501,https://static.helixbeta.com/prod/457/1501/457_118351501.jpg?imwidth=2048
Energel RTX 7mm Med Red,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Energel-RTX-7mm-Med-Red/p/1158035,https://static.helixbeta.com/prod/457/8035/457_1158035.jpg?imwidth=2048
Fineliner Triplus .3mm,2.48,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Bulk--Display-Pens/Fineliner-Triplus-3mm/p/373868814,https://static.helixbeta.com/prod/457/8718/457_373868718_GGRN.jpg?imwidth=2048
Velocity Ballpoint Pen 1.6Mm 2Pk Black,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Velocity-Ballpoint-Pen-1-6Mm-2Pk-Black/p/831039,https://static.helixbeta.com/prod/457/1039/457_831039.jpg?imwidth=2048
Shake Mechanical Pencil 7mm 2pk,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/Shake-Mechanical-Pencil-7mm-2pk/p/255675675,https://static.helixbeta.com/prod/457/5675/457_255675675.jpg?imwidth=2048
BIC Atlantis Original Retractable Ball Pen Medium Point 1.00mm Assorted Colors 8Pack,9.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BIC-Atlantis-Original-Retractable-Ball-Pen-Medium-Point-1-00mm-Assorted-Colors-8Pack/p/156800418,https://static.helixbeta.com/prod/457/0418/457_156800418.jpg?imwidth=2048
GTec C4 Gel Roller Pen Ultra Fine 2Pk,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/GTec-C4-Gel-Roller-Pen-Ultra-Fine-2Pk/p/831277,https://static.helixbeta.com/prod/457/1277/457_831277.jpg?imwidth=2048
Sharpie Clear View Stick Highlighter Yellow 2/Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Highlighters/Carded/Sharpie-Clear-View-Stick-Highlighter-Yellow-2-Pack/p/360022511,https://static.helixbeta.com/prod/457/2511/457_360022511.jpg?imwidth=2048
BIC Intensity Fineliner Marker Pens Medium Point 1.0mm Assorted Colors 10Pack,12.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BIC-Intensity-Fineliner-Marker-Pens-Medium-Point-1-0mm-Assorted-Colors-10Pack/p/360423390,https://static.helixbeta.com/prod/457/3390/457_360423390.jpg?imwidth=2048
Staedt Mtl Shrpnr 510 20,4.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Pencil-Sharpeners/Staedt-Mtl-Shrpnr-510-20/p/1059318,https://static.helixbeta.com/prod/457/9318/457_1059318.jpg?imwidth=2048
Pilot V5 Pens,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Pilot-V5-Pens/p/570878,https://static.helixbeta.com/prod/457/0878/457_570878.jpg?imwidth=2048
Pilot G2 Retractable Roller Gel Pen Fine 0.7mm Red 2Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Pilot-G2-Retractable-Roller-Gel-Pen-Fine-0-7mm-Red-2Pack/p/1059303,https://static.helixbeta.com/prod/457/9303/457_1059303.jpg?imwidth=2048
Zebra Sarasa Clip Gel Retractable Pen 0.5mm Milk White,2.48,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Bulk--Display-Pens/Zebra-Sarasa-Clip-Gel-Retractable-Pen-0-5mm-Milk-White/p/360022414,https://static.helixbeta.com/prod/457/2369/457_360022369_YELLOW.jpg?imwidth=2048
Bic Veloce Max .7mm 2pk Mech Pencil,6.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/Bic-Veloce-Max-7mm-2pk-Mech-Pencil/p/269269281,https://static.helixbeta.com/prod/457/9281/457_269269281.jpg?imwidth=2048
Pentel Sharp Mechanical Pencil 0.7mm Metallic Barrels Assorted Barrel Colors 1Pack,6.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/Pentel-Sharp-Mechanical-Pencil-0-7mm-Metallic-Barrels-Assorted-Barrel-Colors-1Pack/p/268768731,https://static.helixbeta.com/prod/457/8731/457_268768731.jpg?imwidth=2048
ZEBRA STAINLESS G402 RT GEL .5mm 1pk,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/ZEBRA-STAINLESS-G402-RT-GEL-5mm-1pk/p/268768838,https://static.helixbeta.com/prod/457/8838/457_268768838.jpg?imwidth=2048
Zebra Mildliner Double Ended FineMedium Highlighter Assorted Fluorescent 5Pack,10.98,Writing Tools,https://drexel.bncollege.com/Zebra/Zebra-Mildliner-Double-Ended-FineMedium-Highlighter-Assorted-Fluorescent-5Pack/p/268768862,https://static.helixbeta.com/prod/457/8862/457_268768862.jpg?imwidth=2048
Bic Mechanical Pencils Medium Point 0.7mm #2 10Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/Bic-Mechanical-Pencils-Medium-Point-0-7mm-2-10Pack/p/5326,https://static.helixbeta.com/prod/457/5326/457_5326.jpg?imwidth=2048
Pilot G2 Retractable Roller Gel Pen Bold 1.0mm Black 2Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Pilot-G2-Retractable-Roller-Gel-Pen-Bold-1-0mm-Black-2Pack/p/831275,https://static.helixbeta.com/prod/457/1275/457_831275.jpg?imwidth=2048
BIC Cristal Xtra Bold Pens Assorted 8Pack,3.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BIC-Cristal-Xtra-Bold-Pens-Assorted-8Pack/p/1059080,https://static.helixbeta.com/prod/457/9080/457_1059080.jpg?imwidth=2048
BIC Velocity Mechanical Pencil 0.7mm Medium 2Pack,3.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/BIC-Velocity-Mechanical-Pencil-0-7mm-Medium-2Pack/p/394794,https://static.helixbeta.com/prod/457/4794/457_394794.jpg?imwidth=2048
Pentel Super HiPolymer Lead 0.7mm HB 30 Pieces,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Lead-Refills/Pentel-Super-HiPolymer-Lead-0-7mm-HB-30-Pieces/p/6073,https://static.helixbeta.com/prod/457/6073/457_6073.jpg?imwidth=2048
Paper Mate SharpWriter Mechanical Pencils 5Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/Paper-Mate-SharpWriter-Mechanical-Pencils-5Pack/p/6076,https://static.helixbeta.com/prod/457/6076/457_6076.jpg?imwidth=2048
Pilot V5 Roller Ball Pen,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Pilot-V5-Roller-Ball-Pen/p/757751,https://static.helixbeta.com/prod/457/7751/457_757751.jpg?imwidth=2048
BIC XtraStrong Mechanical Pencil 0.9mm 10Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/BIC-XtraStrong-Mechanical-Pencil-0-9mm-10Pack/p/1059081,https://static.helixbeta.com/prod/457/9081/457_1059081.jpg?imwidth=2048
Pilot G2 Retractable Roller Gel Pen Fine 0.7mm Blue 2Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Pilot-G2-Retractable-Roller-Gel-Pen-Fine-0-7mm-Blue-2Pack/p/1059300,https://static.helixbeta.com/prod/457/9300/457_1059300.jpg?imwidth=2048
Sharpie Twin Tip,4.48,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Markers/Carded/Sharpie-Twin-Tip/p/144079,https://static.helixbeta.com/prod/457/4079/457_144079.jpg?imwidth=2048
"Signature BP Pens Set of 6 Contemporary Assorted",10.99,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Signature-BP-Pens-Set-of-6-Contemporary-Assorted/p/265569454,https://static.helixbeta.com/prod/457/9454/457_265569454.jpg?imwidth=2048
BIC Gelocity Quick Dry Retractable Gel Pen 0.7mm Assorted 4Pack,8.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/BIC-Gelocity-Quick-Dry-Retractable-Gel-Pen-0-7mm-Assorted-4Pack/p/362568728,https://static.helixbeta.com/prod/457/8728/457_362568728.jpg?imwidth=2048
Paper Mate ComfortMate Ultra Mechanical Pencils Medium 0.7mm 2Pack,6.68,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Carded/Paper-Mate-ComfortMate-Ultra-Mechanical-Pencils-Medium-0-7mm-2Pack/p/623320,https://static.helixbeta.com/prod/457/3320/457_623320.jpg?imwidth=2048
Dixon Ticonderoga #2 HB Soft Pencils 12Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pencils/Non-Mechancical-Pencils/Dixon-Ticonderoga-2-HB-Soft-Pencils-12Pack/p/359118890,https://static.helixbeta.com/prod/457/8890/457_359118890.jpg?imwidth=2048
BIC QuickDry WiteOut Correction Fluid with Foam Brush,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Correction-Fluids/Correction-Fluids--Pens/BIC-QuickDry-WiteOut-Correction-Fluid-with-Foam-Brush/p/332105,https://static.helixbeta.com/prod/457/2105/457_332105.jpg?imwidth=2048
Energel RTX Medium Line Retractable 0.7mm Liquid Gel Pen,2.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Bulk--Display-Pens/Energel-RTX-Medium-Line-Retractable-0-7mm-Liquid-Gel-Pen/p/269118773,https://static.helixbeta.com/prod/457/8773/457_269118773.jpg?imwidth=2048
Zebra Z-Grip Flight Ballpoint Retractable Pen 1.2mm Fashion 4/Pack,5.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Zebra-Z-Grip-Flight-Ballpoint-Retractable-Pen-1-2mm-Fashion-4-Pack/p/980786,https://static.helixbeta.com/prod/457/0786/457_980786.jpg?imwidth=2048
Fineliner triplus neon 6pcs box,13.28,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Fineliner-triplus-neon-6pcs-box/p/359118929?sale=true,https://static.helixbeta.com/prod/457/8929/457_359118929.jpg?imwidth=2048
PENTEL 2CT ENERGEL RTX GEL PEN MEDIUM LINE BLACK INK,6.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/PENTEL-2CT-ENERGEL-RTX-GEL-PEN-MEDIUM-LINE-BLACK-INK/p/498468742,https://static.helixbeta.com/prod/457/8742/457_498468742.jpg?imwidth=2048
Stabilo Pointmax Brown,1.78,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Bulk--Display-Pens/Stabilo-Pointmax-Brown/p/255282804,https://static.helixbeta.com/prod/457/2804/457_255282804.jpg?imwidth=2048
STABILO POINTMAX LEAF GREEN,1.78,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Bulk--Display-Pens/STABILO-POINTMAX-LEAF-GREEN/p/255282791,https://static.helixbeta.com/prod/457/2791/457_255282791.jpg?imwidth=2048
Highlighter Textsurfer class yellow,2.48,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Highlighters/Bulk--Display-Highliters/Highlighter-Textsurfer-class-yellow/p/26889,https://static.helixbeta.com/prod/457/6889/457_26889.jpg?imwidth=2048
